历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000430	张家界	0.20	10.20	809545	8261704	-0.117	-0.069	-0.096	-0.096	0.095	10.476	10.944	10.007	0.262	-1.710	-3.007	
000488	晨鸣纸业	6.30	16.37	60815028	969316096	0.938	0.845	0.186	2.805	2.397	14.259	16.615	11.903	7.321	8.435	18.028	
000498	山东路桥	-0.60	8.25	11675320	96707944	0.315	0.208	0.215	0.727	0.346	7.504	8.505	6.504	1.331	6.087	11.105	
000501	鄂武商Ａ	2.60	17.38	7349497	126055512	-0.075	0.010	-0.172	0.173	0.601	17.559	18.671	16.448	2.125	1.022	-1.117	
000502	绿景控股	0.36	11.01	1781213	19714884	-0.467	-0.343	-0.248	-0.832	-0.487	11.947	13.297	10.597	-0.272	-6.364	-8.590	
000503	海虹控股					-2.068	-1.510	-1.118	-5.057	-4.181	32.491	37.506	27.476	-16.946	-20.754	-24.440	
000504	南华生物	-1.40	19.70	2072094	41150484	-0.195	0.203	-0.794	0.572	1.726	21.620	23.918	19.322	-3.242	-8.415	-8.253	
000505	珠江控股	-1.96	9.50	2552050	24418844	-0.137	-0.148	0.024	-0.506	-0.547	9.797	10.237	9.357	-1.809	-1.546	-3.353	
000506	中润资源					-0.304	-0.158	-0.293	-0.522	-0.077	9.908	11.079	8.738	-4.092	-8.608	-12.163	
000507	珠海港	-2.65	10.64	38127720	409199584	-0.263	-0.016	-0.494	-0.059	0.738	12.071	13.786	10.357	-3.942	-7.792	-12.968	
000509	华塑控股					-0.067	-0.066	-0.002	-0.150	-0.140	6.122	6.269	5.974	1.046	0.246	-0.163	
000510	金路集团	-1.46	10.15	18416412	187950928	0.472	0.444	0.056	1.517	1.247	9.585	10.678	8.493	1.703	2.181	8.426	
000513	丽珠集团	3.05	50.30	3067084	152608976	0.012	0.163	-0.302	0.263	1.247	50.130	52.232	48.028	1.798	1.652	0.305	
