历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000597	东北制药	1.44	11.27	10734414	120299912	0.054	0.116	-0.125	-0.005	0.163	0.177	0.301	17.636	13.486	
000598	兴蓉环境	1.05	5.76	29564718	169994416	0.021	0.023	-0.004	-0.050	0.048	0.069	0.112	81.041	55.300	
000599	青岛双星	0.45	6.64	8648997	56964384	-0.077	-0.060	-0.033	-0.810	-0.652	-0.161	-0.070	2.765	-3.016	
000600	建投能源	1.25	10.53	22011530	230914704	-0.675	-0.528	-0.294	-2.098	-2.102	-0.870	-0.602	-132.716	-106.309	
000601	韶能股份	1.51	7.38	7877855	57906448	0.083	0.044	0.078	0.094	-0.070	0.156	0.118	17.813	13.812	
000603	盛达矿业	1.24	14.68	11869654	174792768	0.321	0.226	0.189	0.014	-0.026	0.315	0.311	15.785	13.258	
000605	渤海股份	2.47	26.59	17767512	469807232	-1.145	-0.917	-0.456	-1.759	-1.571	-0.613	-0.382	30.033	33.922	
000606	神州易桥					-0.029	-0.007	-0.044	-0.246	0.064	0.036	0.122	7.040	6.311	
000607	华媒控股	2.52	7.31	6640928	47797380	-0.115	-0.085	-0.061	-0.927	-0.739	-0.213	-0.077	0.770	-3.365	
000608	阳光股份	0.13	7.42	1449501	10732353	-0.149	-0.179	0.061	-0.027	-0.512	-0.376	-0.434	-12.297	-12.549	
000609	绵石投资	1.37	15.57	4543003	70748720	0.000	-0.070	0.142	0.063	-0.472	-0.057	-0.018	13.116	9.066	
000610	西安旅游	-6.47	10.69	14909276	158897632	-0.596	-0.606	0.019	-1.195	-1.186	-0.775	-0.805	-9.151	-8.381	
000611	天首发展	2.54	8.06	6146136	49233024	-0.375	-0.203	-0.344	-2.799	-1.067	-0.556	-0.184	-4.007	-4.478	
000612	焦作万方	-0.64	9.33	15387608	143396624	0.308	0.218	0.180	0.250	0.291	0.560	0.432	78.492	66.645	
000613	*ST东海A					0.074	0.037	0.073	0.930	0.229	0.054	-0.037	5.529	6.163	
000615	京汉股份	1.81	11.22	19979802	222934048	-1.195	-1.048	-0.294	-2.473	-2.106	-1.236	-0.960	-130.071	-131.733	
000616	海航投资	1.89	4.32	23138812	99894024	-0.043	-0.049	0.013	-0.044	-0.209	-0.160	-0.138	6.681	1.770	
000617	中油资本	10.02	18.34	12990749	229390400	0.407	0.241	0.331	0.134	0.086	0.352	0.303	29.461	16.612	
000619	海螺型材	2.21	9.72	9059255	87779984	0.020	-0.004	0.048	-0.089	-0.077	0.052	0.062	23.895	14.709	
000620	新华联	1.62	6.88	3068636	21074956	-0.095	-0.085	-0.020	-0.199	-0.192	-0.199	-0.139	-5.946	-10.399	
000622	恒立实业	0.35	5.66	1998198	11243929	-0.225	-0.180	-0.089	-1.205	-0.866	-0.520	-0.336	-10.590	-11.039	
000623	吉林敖东	0.38	23.51	28465004	671142976	0.322	0.279	0.088	0.061	0.013	0.176	0.170	62.768	42.833	
000625	长安汽车	-0.20	14.92	65242040	981624192	0.191	0.128	0.126	0.381	-0.012	0.132	0.098	156.920	108.362	
000626	远大控股	-0.93	16.96	2564098	43384724	-0.284	-0.004	-0.560	-1.755	-1.092	-0.130	0.241	4.779	6.378	
000627	天茂集团	-3.93	10.50	191112240	2112925824	0.755	0.582	0.346	2.333	1.363	1.291	0.977	575.202	475.339	
000628	高新发展	-1.33	11.13	18758128	208272768	0.450	0.251	0.398	-0.032	0.017	0.544	0.203	-18.026	10.104	
000630	铜陵有色	-0.33	3.05	196278272	604412800	0.070	0.060	0.020	0.320	0.251	0.361	0.331	759.203	762.789	
