历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000582	北部湾港	3.53	12.32	15749802	190905136	0.015	-0.089	0.207	-0.183	-0.707	11.655	12.406	10.904	2.411	4.348	5.412	
000584	友利控股	0.54	13.12	9531350	125218744	0.152	0.223	-0.143	0.701	0.929	13.080	13.396	12.764	0.988	0.344	0.363	
000585	东北电气	-1.13	5.25	7642445	40254460	-0.198	-0.243	0.091	-0.696	-0.778	5.311	5.664	4.958	-0.442	0.462	-3.233	
000586	汇源通信	-1.08	21.90	1136177	25076756	0.836	0.757	0.159	2.222	1.797	20.739	23.052	18.426	-0.673	1.601	7.121	
000587	金洲慈航	0.12	8.19	22832594	186425824	0.177	0.113	0.129	0.388	0.231	7.618	8.149	7.088	3.170	5.428	7.917	
000589	黔轮胎Ａ	-0.55	5.46	10085009	55189604	-0.006	0.021	-0.054	0.103	0.140	5.565	5.813	5.318	-0.877	-2.340	-1.725	
000590	启迪古汉	1.87	16.30	2049601	33657240	-0.176	-0.223	0.095	-0.354	-0.453	16.034	16.527	15.541	2.291	2.280	0.648	
000591	太阳能	1.32	5.38	18857112	100494992	-0.040	-0.046	0.012	-0.067	-0.141	5.332	5.655	5.009	0.875	-0.570	0.663	
000592	平潭发展	0.78	5.19	10828134	56332292	-0.077	-0.028	-0.098	-0.021	0.129	5.428	5.815	5.040	0.452	-2.915	-4.909	
000593	大通燃气	-0.36	8.26	1810440	15026947	-0.126	-0.053	-0.146	-0.097	0.038	8.707	9.268	8.146	-1.706	-4.674	-5.225	
000595	*ST宝实	-0.63	4.77	9500535	45531132	0.041	0.039	0.002	0.262	0.192	4.760	5.035	4.484	-0.244	-0.625	1.346	
000596	古井贡酒	0.80	48.00	2666692	127384368	-0.470	-0.264	-0.411	-0.612	0.339	49.159	52.111	46.206	0.408	-0.349	-2.453	
000597	东北制药	-0.45	11.07	10109793	112616792	0.083	0.150	-0.133	0.566	0.524	11.340	12.143	10.536	-2.951	-3.396	-1.687	
000598	兴蓉环境	0.71	5.70	25482996	144548464	0.015	0.026	-0.020	0.114	0.120	5.678	5.844	5.511	0.559	-0.204	0.633	
000599	青岛双星	0.46	6.58	5593901	36896628	-0.083	-0.050	-0.067	-0.038	0.024	6.743	7.053	6.433	0.101	-2.241	-2.860	
000600	建投能源	1.93	10.57	33375264	351429376	-0.653	-0.445	-0.415	-1.374	-0.785	12.056	14.232	9.880	-1.857	-7.382	-14.239	
000601	韶能股份	0.97	7.25	10721389	77028864	0.050	0.027	0.045	0.229	0.123	7.009	7.209	6.808	2.522	3.142	3.510	
000603	盛达矿业	3.09	14.69	26965132	400074656	0.230	0.185	0.090	0.755	0.742	13.598	14.564	12.632	7.252	6.804	8.990	
000605	渤海股份	3.90	26.37	16540754	430485664	-1.171	-0.777	-0.788	-2.622	-1.739	28.515	32.060	24.971	0.893	-5.150	-9.115	
