历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
002488	金固股份	0.29	10.40	2481788	25880598	-0.330	-0.173	-0.314	85.849	85.849	-109.686	-22903.37	40972.72	
002489	浙江永强	0.00	6.19	8345121	51556904	-0.071	-0.048	-0.045	61.702	66.667	-85.784	-190799.7	45194.35	
002490	*ST墨龙	1.06	4.75	10652968	50650420	0.032	0.016	0.032	15.385	13.793	148.673	28413.79	-3472.303	
002491	通鼎互联	0.47	12.80	5035856	64944164	-0.023	0.097	-0.241	78.882	78.395	-97.240	256221.6	187970.4	
002492	恒基达鑫	-1.94	8.07	10312687	84581288	-0.265	-0.081	-0.368	81.915	91.542	-130.825	2713281.3	3100007.0	
002493	荣盛石化	-0.85	10.50	13069341	138029312	0.272	0.238	0.067	17.241	12.903	136.805	993006.9	702112.2	
002494	华斯股份	-0.33	12.26	10764526	133521056	-1.029	-0.818	-0.421	88.889	93.881	-117.373	-342413.5	376181.4	
002495	佳隆股份	0.00	4.29	2651522	11430811	-0.071	-0.039	-0.066	68.627	73.771	-95.504	119197.3	140907.5	
002496	辉丰股份	0.40	5.08	21845340	111227536	0.056	0.060	-0.008	17.143	11.538	123.051	1740634.5	792592.0	
002497	雅化集团	7.85	13.05	154937856	2015990272	0.720	0.607	0.225	7.222	5.253	126.382	4775451.5	884998.3	
002498	汉缆股份	0.00	3.60	5397409	19470630	-0.011	-0.001	-0.020	60.870	68.750	-77.920	348222.3	234990.5	
002499	科林环保					-0.753	-0.320	-0.865	84.538	84.538		-143517.6		
002500	山西证券	0.18	11.44	170948880	1970897408	0.427	0.315	0.224	14.097	12.355	143.424	5174672.0	572525.6	
002501	利源精制	-1.00	10.88	8695800	95168808	-0.075	-0.001	-0.149	73.171	73.171	-128.669	225645.6	68560.52	
002502	骅威文化					-0.250	-0.157	-0.185	95.775	97.561	-255.674	-978979.8	-478518.1	
002503	搜于特	1.16	7.00	11992700	84004528	0.021	0.044	-0.045	59.406	59.406	-60.958	-907364.6	-409798.4	
002504	*ST弘高													
002505	大康农业													
002506	协鑫集成	-0.70	4.25	9154301	39132916	-0.002	0.028	-0.061	67.568	67.568	-71.679	1375129.9	938804.7	
002507	涪陵榨菜	0.84	10.79	4427140	47694148	-0.118	-0.079	-0.079	55.556	71.429	-56.636	-45189.24	-32072.21	
002508	老板电器	0.36	42.00	5749549	238985536	-0.233	-0.193	-0.080	51.613	66.934	-23.316	-202140.3	-176487.7	
002509	天广中茂					0.093	0.049	0.088	25.688	19.310	126.368	226554.3		
002510	天汽模	-1.01	6.87	50100448	347234944	0.032	0.173	-0.282	77.895	65.041	-92.826	7084479.0	5314544.5	
002511	中顺洁柔	-1.28	13.10	3094794	40766140	0.256	0.282	-0.054	38.053	22.051	6.016	216499.3	161221.7	
002512	达华智能	0.25	16.32	3040644	49640592	0.202	0.276	-0.149	52.830	32.370	-33.502	790443.1	500886.6	
002513	蓝丰生化	-0.17	11.58	3404040	39558936	-0.704	-0.341	-0.725	92.169	92.169		-282857.8		
002514	宝馨科技	0.75	8.10	2086799	16868146	-0.020	-0.003	-0.033	26.829	38.775	-37.563	39455.65	27553.39	
