历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
002186	全 聚 德	0.75	18.80	1012428	18934410	-0.236	-0.098	-0.275	84.656	84.656	-203.615	24498.25	41832.66	
002187	广百股份	-0.34	11.68	2050664	23921872	-0.071	0.011	-0.165	87.500	87.500	-291.351	154020.1	123641.7	
002188	巴士在线	0.08	25.29	1318767	32982562	-0.166	-0.130	-0.071	30.325	55.220	-152.976	-186974.9	-89789.22	
002189	利达光电	1.25	15.36	1683141	25697352	-0.125	0.056	-0.361	86.415	86.415	-217.740	51868.50	77819.45	
002190	成飞集成	1.34	25.64	2652600	67573920	0.064	0.235	-0.340	84.036	76.438	-190.578	357885.3	176478.9	
002191	劲嘉股份	0.65	9.28	5941143	54938344	0.035	0.047	-0.025	80.000	67.606	-115.591	248700.3	131813.9	
002192	融捷股份					1.367	0.845	1.043	6.019	4.449	160.802	861309.4	196001.8	
002193	如意集团	2.40	14.95	1042075	15363009	0.052	0.084	-0.064	47.639	41.887	-45.274	120090.4	122512.8	
002194	武汉凡谷	-1.52	7.76	3302864	25483344	-0.211	-0.090	-0.241	88.764	89.247	-241.168	-5994.708	101476.8	
002195	二三四五	0.48	6.25	46042528	284479008	0.026	0.135	-0.219	83.740	79.845	-206.552	8212658.0	6356143.5	
002196	方正电机	0.72	11.12	5510112	60998924	0.129	0.260	-0.264	87.850	69.630	-151.886	399639.3	318550.1	
002197	证通电子	0.94	11.81	5330215	62329248	-0.000	0.140	-0.281	86.971	86.971	-172.520	872019.9	561963.4	
002198	嘉应制药	-0.15	13.03	1055310	13726730	-0.128	-0.057	-0.144	89.610	93.333	-188.369	120799.8	280993.4	
002199	东晶电子	0.00	13.72	730749	9931746	-0.300	-0.148	-0.303	72.047	76.568	-187.827	93509.27	114663.0	
002200	云投生态	1.89	17.27	1204994	20667310	-0.352	-0.417	0.129	80.602	80.602	-88.067	-173641.4	-154845.2	
002201	九鼎新材	-1.19	8.33	2631099	21860472	-0.237	-0.125	-0.225	88.108	88.235	-274.699	-158775.6	-23938.28	
002202	金风科技	0.76	14.56	10137666	146694432	-0.096	0.013	-0.218	78.621	80.745	-214.744	503632.5	817767.9	
002203	海亮股份	4.23	8.37	12023732	98911088	0.154	0.159	-0.011	36.364	20.690	2.018	703445.3	309458.4	
002204	大连重工	1.03	3.93	7167275	28055136	-0.024	-0.005	-0.037	71.875	72.727	-237.954	142364.0	247890.5	
002205	国统股份	-1.27	23.24	3759058	85956584	-1.078	-0.688	-0.780	74.813	79.078	-242.388	-151657.1	28338.99	
002206	海 利 得	1.19	6.83	2902048	19661616	-0.090	-0.021	-0.138	85.556	85.870	-138.316	-226241.7	30006.41	
002207	*ST准油	-2.14	8.23	8003505	64990328	-0.089	-0.085	-0.007	79.832	79.832	-205.677	-272105.4	-75174.51	
002208	合肥城建	1.17	11.26	3154247	35378164	-0.210	-0.031	-0.359	86.222	86.522	-201.214	-25407.32	46439.77	
002209	达 意 隆	1.57	12.32	1210017	14762236	-0.288	-0.107	-0.362	84.452	86.136	-146.359	-174233.2	-79932.48	
002210	飞马国际	0.50	10.03	4635111	45071120	0.022	0.041	-0.036	44.767	44.767	-211.371	179715.5	76849.83	
002211	宏达新材	4.13	9.32	15897953	145438400	0.277	0.265	0.025	57.031	52.708	-19.406	1123926.5	408852.0	
002212	南洋股份	1.08	13.14	1540984	20270190	-0.046	-0.078	0.062	69.681	69.681	-49.565	-60843.52	-137624.6	
002213	特 尔 佳	0.05	20.77	955100	19403920	-0.312	-0.200	-0.224	61.270	67.027	-239.224	-28619.60	-7037.081	
002214	大立科技	0.68	7.36	5594640	40729324	-0.165	-0.036	-0.257	87.013	91.189	-187.713	274213.9	365795.8	
002215	诺 普 信	1.83	7.79	11250185	86758400	0.007	0.072	-0.129	79.452	78.912	-241.646	-84959.38	-311521.6	
002216	三全食品	0.96	8.38	1502154	12574009	-0.041	-0.000	-0.081	56.818	56.818	-163.762	83335.71	139132.3	
002217	合力泰	0.00	8.95	12841490	113560680	-0.060	0.036	-0.192	78.873	78.873	-139.353	501960.7	460701.1	
002218	拓日新能	0.72	4.20	10358356	43048832	-0.117	-0.036	-0.160	85.714	85.859	-164.937	-620124.5	52293.18	
002219	恒康医疗	0.34	11.84	3468435	40499672	-0.074	-0.074	-0.001	18.310	19.444	-113.348	633831.8	708054.7	
002220	天宝股份	1.66	7.94	2378995	18706986	-0.123	-0.038	-0.171	89.286	89.286	-155.289	-106760.6	-21397.13	
002221	东华能源	-1.12	10.56	9427951	99975664	0.037	0.051	-0.027	87.500	61.635	-160.557	-245746.9	-164898.0	
002222	福晶科技	0.43	13.99	6745668	93487984	-0.078	-0.011	-0.134	71.220	74.009	-147.200	202939.8	328714.1	
002223	鱼跃医疗	-5.80	18.68	47328628	877374720	-0.510	-0.063	-0.894	88.776	88.776	-274.244	-751294.7	-123317.3	
002224	三 力 士	2.00	10.18	5777053	58348792	-0.068	0.057	-0.249	89.100	89.100	-233.921	635087.8	303889.5	
002225	濮耐股份	0.97	5.23	2323816	12010226	-0.018	0.015	-0.067	80.597	80.597	-219.084	244406.1	215220.6	
002226	江南化工	0.90	6.74	7073000	47276744	0.010	0.063	-0.106	80.833	80.833	-191.423	1510.977	18673.30	
002227	奥 特 迅	1.44	16.94	985219	16539973	-0.178	0.048	-0.453	82.123	82.123	-176.926	32850.88	66013.89	
002228	合兴包装	1.81	4.50	5407025	24135804	-0.007	0.017	-0.049	79.245	79.245	-200.738	-38271.07	-29281.39	
002229	鸿博股份	0.00	9.69	4750211	45689824	-0.313	-0.155	-0.317	88.095	89.627	-191.511	23005.27	182314.8	
002230	科大讯飞	0.20	40.10	66453960	2644110080	1.958	2.424	-0.933	62.259	33.379	-63.994	4696193.0	2220563.5	
002231	奥维通信	1.24	10.60	1786060	18929302	-0.061	-0.026	-0.069	47.826	71.831	-143.198	-140864.1	-142006.1	
002232	启明信息	-0.28	10.73	3742924	40157536	-0.395	-0.256	-0.278	92.576	94.014	-226.001	-25999.40	218571.6	
002233	塔牌集团	2.80	12.10	21736284	260358176	-0.016	-0.010	-0.012	67.320	75.962	-81.320	2739054.0	1497769.9	
002234	民和股份	9.99	16.63	25354308	406968256	0.830	0.638	0.385	0.000	0.000	154.391	915847.5	706512.8	
002235	安妮股份	2.22	11.52	6003142	68206304	-0.065	-0.006	-0.117	79.703	79.310	-201.336	431361.3	263300.5	
002236	大华股份	-3.40	23.85	41835288	986953536	0.932	0.917	0.029	40.143	33.268	37.156	2960431.5	2560640.0	
002237	恒邦股份	1.08	11.26	17778412	198307504	0.218	0.146	0.144	27.612	22.981	128.248	1005625.0	296047.0	
002238	天威视讯	0.10	10.53	2092028	21923060	-0.183	-0.040	-0.286	89.954	89.954	-266.579	27281.66	57935.86	
002239	奥特佳	0.00	4.10	7434137	30246956	-0.036	0.006	-0.084	86.154	86.765	-155.811	-160041.7	102327.6	
002240	威华股份	1.32	12.29	7798057	95206984	0.279	0.340	-0.121	67.083	54.027	-48.443	475572.8	288146.7	
002241	歌尔股份	-0.56	17.89	16236622	290383008	-0.103	0.032	-0.270	71.359	79.298	-150.462	1284675.4	1697605.9	
002242	九阳股份	-0.17	17.87	4576939	81586032	-0.175	-0.003	-0.344	90.045	92.226	-157.865	31628.73	209599.9	
002243	通产丽星	1.68	9.10	3087166	27717648	-0.005	0.056	-0.122	78.313	74.713	-260.472	-177089.7	-32893.42	
002244	滨江集团	1.70	6.59	11318262	74051600	-0.078	-0.038	-0.081	76.471	85.185	-144.838	-1334539.5	-643555.1	
002245	澳洋顺昌	0.82	8.59	11675200	99376072	0.002	0.073	-0.141	79.452	79.452	-201.557	416647.4	213710.6	
