历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000422	湖北宜化	4.21	6.43	47619140	303962656	0.110	0.088	0.044	0.322	0.222	6.061	6.449	5.673	3.100	3.975	6.811	
000423	东阿阿胶	0.88	66.28	7022639	463123808	-0.605	-0.159	-0.893	-0.665	1.207	68.426	72.844	64.009	0.533	-0.908	-3.290	
000425	徐工机械	3.92	3.98	129682144	509180384	0.083	0.079	0.007	0.280	0.240	3.797	4.025	3.569	2.445	2.909	5.933	
000426	兴业矿业	6.64	9.64	40884064	391553312	0.280	0.287	-0.014	0.929	0.954	9.005	9.676	8.335	4.480	4.859	8.325	
000428	华天酒店	1.06	4.77	4766679	22612876	-0.100	-0.064	-0.072	-0.141	-0.095	5.047	5.344	4.749	-2.221	-5.059	-5.863	
000429	粤高速Ａ	0.33	9.26	48931792	445409536	0.087	0.007	0.159	0.039	0.035	8.524	9.149	7.899	7.114	9.370	7.899	
000430	张家界	0.69	10.15	1733884	17492596	-0.108	-0.043	-0.130	0.014	0.145	10.517	10.949	10.086	-0.976	-2.871	-3.902	
000488	晨鸣纸业	5.00	15.55	54589320	833930816	0.870	0.810	0.120	2.687	2.143	13.856	16.322	11.391	3.334	5.908	14.788	
000498	山东路桥	1.82	8.38	30904160	260286176	0.277	0.150	0.252	0.549	0.212	7.376	8.267	6.484	4.685	10.457	14.338	
000501	鄂武商Ａ	3.11	17.23	6793577	113818968	-0.078	0.064	-0.285	0.334	0.797	17.618	18.689	16.546	1.244	-0.241	-2.220	
000502	绿景控股	0.65	10.85	2180905	23526498	-0.426	-0.277	-0.299	-0.571	-0.462	12.067	13.251	10.883	-5.213	-9.426	-11.169	
000503	海虹控股					-2.068	-1.510	-1.118	-5.057	-4.181	32.491	37.506	27.476	-16.946	-20.754	-24.440	
000504	南华生物	0.94	20.39	2190671	44604104	0.043	0.397	-0.707	1.247	1.984	21.690	23.792	19.588	-4.017	-7.385	-5.820	
000505	珠江控股	0.00	9.77	3949695	38418788	-0.134	-0.157	0.046	-0.539	-0.557	9.836	10.262	9.410	0.860	0.696	-1.017	
000506	中润资源					-0.304	-0.158	-0.293	-0.522	-0.077	9.908	11.079	8.738	-4.092	-8.608	-12.163	
000507	珠海港	1.09	11.10	41253864	453040384	-0.150	0.107	-0.514	0.324	1.085	12.263	13.770	10.756	-3.085	-5.892	-10.811	
000509	华塑控股					-0.067	-0.066	-0.002	-0.150	-0.140	6.122	6.269	5.974	1.046	0.246	-0.163	
000510	金路集团	6.11	10.42	30428424	310156896	0.470	0.426	0.086	1.418	1.103	9.398	10.631	8.166	4.391	6.699	13.528	
000513	丽珠集团	0.22	49.45	2068429	101517872	0.012	0.265	-0.506	0.622	1.724	50.190	52.199	48.182	0.301	-0.525	-1.476	
000514	渝 开 发	1.01	9.01	51486344	464283488	0.294	0.130	0.328	0.517	0.112	7.820	8.904	6.736	5.298	11.787	15.636	
000516	国际医学	1.00	5.04	13388638	66947784	-0.160	-0.116	-0.089	-0.243	-0.268	5.432	5.850	5.015	-2.546	-5.721	-7.756	
000517	荣安地产	0.69	4.39	7243074	31555956	-0.067	-0.042	-0.051	-0.107	-0.057	4.577	4.819	4.336	-0.940	-3.019	-4.409	
000518	四环生物	0.65	7.80	4640325	36345516	0.113	0.111	0.003	0.384	0.335	7.624	8.075	7.174	0.451	0.960	3.363	
000519	中兵红箭	0.43	11.81	16606762	194977824	-0.131	0.041	-0.345	0.268	0.363	12.811	14.225	11.397	-5.305	-9.090	-7.412	
000520	长航凤凰	0.54	5.59	5054177	28120888	-0.106	-0.084	-0.045	-0.158	-0.129	5.799	6.073	5.526	-1.208	-2.754	-4.192	
000521	美菱电器	1.70	5.97	10166790	60318336	-0.064	-0.003	-0.122	0.045	0.160	6.286	6.764	5.808	-0.803	-3.593	-4.766	
000523	广州浪奇	2.03	9.56	3516969	33526198	-0.072	-0.028	-0.087	-0.029	0.081	9.744	10.151	9.337	0.297	-1.401	-2.074	
000524	岭南控股	0.24	12.44	2757031	34092596	-0.076	-0.039	-0.073	0.043	0.133	12.698	13.344	12.052	-0.811	-2.265	-2.419	
000525	红 太 阳	3.84	18.66	4655814	85508400	0.271	0.296	-0.048	1.076	0.933	18.053	19.124	16.982	2.452	1.990	4.431	
000526	*ST紫学	-2.41	32.38	2393766	77295728	-0.424	-1.225	1.603	-3.408	-5.325	29.312	32.458	26.166	4.295	8.183	9.555	
