历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
300375	鹏翎股份	-0.22	18.19	739589	13539814	-0.344	-0.112	-0.465	-0.983	-0.452	-0.146	0.058	-0.427	0.660	
300376	易事特					0.032	0.071	-0.078	-0.380	-0.006	0.189	0.246	25.473	59.593	
300377	赢时胜	-0.10	9.63	8243121	80540736	-0.610	-0.439	-0.342	-1.715	-1.045	-0.681	-0.467	-63.428	-46.342	
300378	鼎捷软件	-0.35	14.33	2655753	38516624	-0.492	-0.332	-0.319	-1.326	-0.674	-0.362	-0.230	-6.062	-3.746	
300379	东方通	-0.93	14.85	4921217	74044200	-1.351	-0.909	-0.884	-2.152	-1.431	-0.838	-0.423	-34.276	-25.750	
300380	安硕信息	0.05	21.20	1386903	29605484	-0.991	-0.574	-0.832	-1.491	-0.880	-0.444	-0.187	-4.726	-1.929	
300381	溢多利	1.27	14.31	2173278	31663952	-0.587	-0.274	-0.628	-2.012	-1.547	-0.420	-0.016	-1.642	-1.212	
300382	斯莱克	3.74	41.29	1032402	42555728	0.253	0.564	-0.622	-0.275	-0.312	0.176	0.300	3.922	4.241	
300383	光环新网	-0.44	11.40	22986640	265921408	-0.320	-0.065	-0.509	-1.544	-0.715	-0.237	0.091	-89.133	-46.451	
300384	三联虹普	-0.19	32.33	367200	11929107	-1.369	-0.995	-0.748	-1.095	-0.669	-0.482	-0.310	-2.007	-1.743	
300385	雪浪环境	1.15	23.65	1425245	33889272	-1.570	-1.170	-0.800	-1.517	-1.020	-0.697	-0.404	-4.426	-5.630	
300386	飞天诚信	-0.40	14.98	2750240	41646640	-0.711	-0.411	-0.601	-1.652	-0.811	-0.445	-0.193	-7.238	2.053	
300387	富邦股份	-0.87	17.14	886500	15407464	-0.591	-0.336	-0.509	-1.448	-0.785	-0.309	-0.093	-1.675	-0.717	
300388	国祯环保	-0.10	19.50	1976954	38896568	-0.147	0.041	-0.377	-0.535	-0.083	0.005	0.153	4.023	4.906	
300389	艾比森	0.25	12.10	854167	10430440	-0.514	-0.286	-0.455	-1.785	-0.672	-0.359	-0.113	-5.524	-3.293	
300390	天华超净	0.25	8.04	2430318	19692060	-0.347	-0.224	-0.245	-1.562	-0.928	-0.412	-0.208	-1.768	-0.383	
300391	康跃科技	-1.83	17.20	4197643	72979992	0.176	-0.052	0.457	0.179	-0.226	0.062	-0.074	1.873	0.083	
300392	腾信股份	0.00	15.20	1274483	19304868	-0.014	0.033	-0.094	-0.533	-0.362	-0.007	0.012	-2.522	1.651	
300393	中来股份	-2.65	49.99	764640	38562276	-0.450	0.332	-1.563	-0.682	-0.197	0.031	0.245	0.637	1.262	
300394	天孚通信	0.04	22.66	839450	19113380	-0.728	-0.377	-0.703	-1.290	-0.759	-0.321	-0.066	-2.635	-1.922	
300395	菲利华	-0.86	14.90	2651590	40037056	0.124	0.215	-0.182	-0.434	-0.214	0.239	0.335	4.051	6.198	
300396	迪瑞医疗	-0.51	33.23	404400	13565976	-0.014	0.197	-0.421	-0.510	-0.216	0.061	0.136	1.368	1.952	
300397	天和防务	-0.67	28.27	14098187	401322912	0.798	0.406	0.784	0.891	0.220	0.347	0.136	35.555	29.615	
300398	飞凯材料	4.55	16.32	8306753	134094928	-0.180	0.182	-0.724	-1.523	-0.495	0.152	0.469	4.340	9.516	
