历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
600066	宇通客车	-1.28	21.54	16065476	347130624	0.256	0.373	-0.233	66.372	50.000	-66.089	1587474.8	1559180.3	
600067	冠城大通	4.03	7.22	29103838	209153536	0.119	0.106	0.026	9.677	4.688	179.799	1417507.8	485856.0	
600068	葛洲坝	4.69	11.82	200302464	2344196608	0.187	0.161	0.052	9.735	7.051	238.096	675451.3	-1595912.5	
600069	银鸽投资	2.32	10.15	12637882	126669872	0.294	0.283	0.021	34.302	27.830	35.292	820056.1	404764.4	
600070	浙江富润	-0.53	11.33	2841206	32244928	-0.083	0.005	-0.177	80.488	83.920	-137.156	96375.45	149935.0	
600071	凤凰光学	0.00	19.38	2258758	43606528	-0.324	0.173	-0.995	87.527	88.462	-168.861	450642.1	501004.5	
600072	中船科技	2.37	16.86	13504593	226149600	0.058	0.119	-0.122	59.000	46.640	-62.484	890367.0	400852.4	
600073	上海梅林	1.00	9.11	10637093	96583856	-0.029	0.041	-0.138	74.419	74.419	-129.873	648291.7	546457.7	
600074	保千里	0.34	11.84	11543661	135486800	-0.077	0.089	-0.333	90.000	90.000	-149.691	255372.5	155287.4	
600075	新疆天业	2.90	10.28	46757864	475710432	0.313	0.184	0.259	8.287	6.787	140.230	1765080.6	271657.4	
600076	康欣新材	5.21	9.09	13706525	122722272	0.122	0.149	-0.054	34.821	30.233	-29.351	811700.2	424234.2	
600077	宋都股份	2.21	4.17	13800170	56970160	0.032	0.022	0.020	12.500	8.823	92.632	400012.7	-45640.80	
600078	澄星股份	9.26	6.49	25178372	158742864	0.053	0.068	-0.029	12.222	12.222	50.382	817360.2	354747.1	
600079	人福医药	-0.06	18.17	13029187	234529872	-0.281	-0.180	-0.203	84.577	84.577	-154.124	-283603.1	228916.8	
600080	金花股份	0.82	11.06	3830661	42153968	0.283	0.241	0.085	4.065	2.732	195.340	505255.4	308106.6	
600081	东风科技	1.89	11.84	1422308	16673741	-0.100	0.023	-0.245	78.369	78.369	-135.151	-2347.858	-9798.932	
600082	海泰发展	0.34	5.90	4142200	24321888	-0.131	-0.073	-0.115	76.744	81.481	-131.993	-266222.1	-190947.0	
600083	博信股份	9.99	15.97	672462	10739218	0.416	0.148	0.536	0.000	0.000	302.511	190211.1	22912.76	
600084	中葡股份					0.144	0.094	0.100	13.542	7.784	89.793	1584839.1	-16990.53	
600085	同仁堂	0.77	32.83	7888103	256845504	-0.059	0.203	-0.522	76.159	81.955	-151.595	834412.2	805424.3	
600086	东方金钰	-1.11	10.71	7967968	85694368	-0.031	-0.010	-0.042	68.421	71.875	-102.882	-276014.0	35527.49	
600088	中视传媒	1.12	15.32	1199120	18157978	-0.389	-0.131	-0.514	84.615	86.230	-135.362	43452.59	77606.34	
600089	特变电工	2.69	9.94	36495148	358700672	-0.016	0.039	-0.110	55.056	55.056	-91.923	1177376.3	755107.1	
600090	同济堂	2.32	8.82	2437167	21297920	-0.111	-0.035	-0.154	64.286	66.667	-90.142	97403.04	58669.67	
600091	ST明科	4.93	7.02	6713587	46859152	0.057	0.056	0.002	24.324	18.000	-3.977	68246.18	36755.10	
600093	易见股份	0.39	12.81	3347126	42674036	-0.034	0.011	-0.091	57.009	69.333	-112.383	135813.0	80217.05	
600094	大名城	0.27	7.48	3935826	29335052	-0.038	-0.024	-0.028	61.111	61.111	-161.418	126083.2	168379.4	
