历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000571	新大洲Ａ					0.035	-0.026	0.122	-0.046	-0.164	7.615	7.945	7.285	4.242	5.737	6.308	
000572	海马汽车	-0.20	4.91	4457439	21840576	-0.082	-0.063	-0.038	-0.176	-0.059	5.057	5.379	4.735	0.994	-1.389	-3.060	
000573	粤宏远Ａ	-1.58	6.24	5167729	32356644	-0.082	-0.094	0.024	-0.173	-0.101	6.306	6.624	5.987	0.591	0.362	-1.422	
000576	广东甘化	-0.18	16.66	1029203	17043796	-0.050	-0.084	0.068	-0.295	-0.297	16.582	16.905	16.258	-0.040	0.858	0.221	
000581	威孚高科	-1.20	26.45	16569607	437622272	0.737	0.694	0.086	2.254	2.241	25.601	26.862	24.339	1.160	3.045	3.919	
000582	北部湾港	-1.14	12.18	9675813	118390552	0.073	-0.017	0.181	0.184	-0.355	11.768	12.578	10.958	0.689	1.465	4.014	
000584	友利控股	-1.08	12.82	4836348	62221224	0.099	0.171	-0.145	0.501	0.766	13.047	13.377	12.717	-0.761	-1.372	-1.744	
000585	东北电气	-1.65	5.37	7846450	42446624	-0.129	-0.194	0.130	-0.533	-0.721	5.282	5.537	5.027	0.062	1.753	0.366	
000586	汇源通信	-4.76	20.41	2070305	43096656	0.589	0.724	-0.268	2.060	2.016	21.052	22.910	19.195	-5.444	-5.564	-1.458	
000587	金洲慈航	-2.37	7.83	17763592	140316080	0.165	0.144	0.043	0.426	0.313	7.699	8.267	7.131	-2.693	-0.760	2.253	
000589	黔轮胎Ａ	-1.34	5.88	20282684	118799688	0.059	0.031	0.056	0.132	0.140	5.626	5.940	5.311	4.009	4.255	5.078	
000590	启迪古汉	0.43	16.40	1035147	17036096	-0.067	-0.159	0.184	-0.244	-0.374	16.034	16.507	15.560	0.944	2.409	1.761	
000591	太阳能	0.00	5.29	10554962	55813040	-0.046	-0.045	-0.000	-0.123	-0.101	5.333	5.655	5.012	-0.094	-1.229	-0.611	
