历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
002097	山河智能	-0.95	8.35	7058036	59194932	-0.050	0.001	-0.101	-0.648	-0.544	-0.070	0.096	23.284	20.611	
002098	浔兴股份	-0.28	14.07	6859320	97318544	-0.003	-0.001	-0.005			-0.001		-1.183		
002099	海翔药业	-3.32	7.28	14190129	105003488	0.189	0.155	0.069	0.450	0.354	0.446	0.319	78.208	73.198	
002100	天康生物	0.87	8.10	3161872	25447276	0.009	0.004	0.010	-0.112	-0.124	-0.008	0.020	4.715	2.174	
002101	广东鸿图	4.19	23.62	3492494	80729672	-0.009	0.095	-0.208	-0.688	-0.685	-0.046	0.158	11.657	8.973	
002102	冠福股份	-0.25	3.93	7693900	30098390	-0.073	-0.063	-0.020	-0.491	-0.491	-0.267	-0.193	-46.132	-32.519	
002103	广博股份	-1.14	11.24	1469317	16517643	-0.534	-0.378	-0.312	-1.760	-1.290	-0.557	-0.287	-5.948	-4.451	
002104	恒宝股份	-0.57	8.77	6783890	59543744	-0.160	-0.077	-0.164	-1.300	-0.875	-0.249	-0.025	29.515	17.628	
002105	信隆健康	-0.39	7.75	2509114	19477036	-0.136	-0.106	-0.061	-1.236	-0.925	-0.229	-0.112	3.689	0.251	
002106	莱宝高科	-1.66	10.65	12558457	134495904	0.163	0.131	0.064	0.211	0.194	0.221	0.197	47.823	39.054	
002107	沃华医药	0.09	11.41	1078212	12290129	-0.295	-0.222	-0.144	-0.651	-0.408	-0.314	-0.152	-1.794	-2.030	
002108	沧州明珠	1.56	15.62	77850528	1206426112	0.399	0.256	0.286	0.253	0.234	0.349	0.276	226.672	173.448	
002109	兴化股份	-2.12	7.40	7729740	57689364	-0.378	-0.331	-0.095	-1.260	-1.089	-0.727	-0.612	-43.970	-64.850	
002110	三钢闽光	0.00	15.66	0	0	0.624	0.276	0.698	1.319	0.553	0.490	0.124	53.141	45.619	
002111	威海广泰	-0.79	16.40	3464161	56813400	-0.392	-0.279	-0.226	-1.138	-0.807	-0.291	-0.111	-0.471	-0.495	
002112	三变科技	1.30	16.39	675857	11050571	0.169	0.201	-0.065	-1.081	-0.842	0.101	0.180	6.670	8.578	
002113	天润数娱	6.39	14.16	49048672	686320576	-1.046	-0.842	-0.408			-0.996	-0.616	-14.904	-47.827	
002114	罗平锌电	2.76	20.88	10270003	210725824	0.334	0.388	-0.106	-0.705	-0.363	0.287	0.380	60.929	56.365	
002115	三维通信	0.45	8.88	3466008	30759844	-0.378	-0.274	-0.208	-1.790		-0.579	-0.318	-23.377	-10.668	
002116	中国海诚	-0.59	11.83	2390622	28373486	-0.091	-0.075	-0.031	-0.357	-0.379	-0.107	-0.028	4.059	3.230	
002117	东港股份	-0.52	22.78	1951514	44457056	-0.569	-0.242	-0.654	-1.102	-0.606	-0.228	0.004	-6.063	-2.582	
002118	紫鑫药业	0.61	6.60	5321180	35115724	-0.023	0.007	-0.061	-0.627	-0.433	-0.041	0.059	5.984	3.484	
002119	康强电子	0.48	16.62	736977	12187236	-0.234	-0.145	-0.178	-0.796	-0.543	-0.159	-0.025	1.171	0.650	
002120	韵达股份	0.23	39.88	390419	15537249	-0.210	0.075	-0.570	-0.642	-0.351	-0.080	0.082	0.076	0.376	
002121	科陆电子	-0.78	8.93	7791715	69347512	0.035	0.022	0.025	-0.148	-0.051	0.053	0.062	21.750	11.442	
002122	天马股份	-1.78	10.50	15684924	163100624	-0.015	-0.003	-0.024			-0.006		-31.706		
002123	梦网荣信	-0.67	10.41	5153670	53546596	-0.315	-0.281	-0.068	-1.082	-0.907	-0.442	-0.285	-5.049	-7.257	
002124	天邦股份	-1.20	8.21	2591662	21297558	-0.051	0.022	-0.146	-0.991	-0.396	-0.003	0.185	7.165	9.738	
002125	湘潭电化	-1.37	11.51	7579900	87366128	0.347	0.265	0.164	0.327	0.322	0.531	0.385	48.333	49.121	
002126	银轮股份	-0.66	10.61	26676600	289239104	0.174	0.153	0.042	0.271	0.038	0.228	0.283	56.391	51.658	
002127	南极电商	-1.77	12.76	6267747	80362760	0.136	0.133	0.006	0.066	-0.173	0.148	0.161	28.636	31.938	
002128	露天煤业		8.70	0	0	0.000	0.000	0.000			0.000				
002129	中环股份		8.27	0	0	0.000	0.000	0.000			0.000				
002130	沃尔核材	3.22	6.73	34829628	234239568	0.011	-0.024	0.070	-0.337	-0.622	-0.074	-0.086	-13.706	-40.459	
002131	利欧股份	0.00	3.08	33179784	102315232	-0.104	-0.089	-0.029	-0.901	-0.728	-0.465	-0.377	-273.670	-271.300	
002132	恒星科技	-0.21	4.74	4567185	21577770	0.020	0.030	-0.020	-0.531	-0.420	0.069	0.158	23.585	35.161	
002133	广宇集团	-0.19	5.27	5622026	29677078	-0.102	-0.081	-0.043	-0.835	-0.733	-0.272	-0.148	15.625	9.279	
002134	*ST普林	3.99	9.13	5226868	47235936	-0.767	-0.949	0.364	-0.469		-1.207	-1.451	-7.410	-12.055	
002135	东南网架	1.67	7.30	11621410	84992576	-0.230	-0.195	-0.069	-0.992	-1.212	-0.551	-0.392	-46.059	-41.840	
002136	安 纳 达	-3.16	18.10	8939577	162532736	0.574	0.593	-0.038	0.135	0.263	0.572	0.642	68.921	70.117	
002137	麦达数字	-0.13	7.78	2786102	21641820	-0.433	-0.357	-0.153	-1.546	-1.136	-0.624	-0.397	-12.380	-14.737	
002138	顺络电子	-1.97	18.38	6647114	123092776	0.046	0.061	-0.030	-0.317	-0.207	0.045	0.075	6.264	9.692	
002139	拓邦股份	-0.68	10.18	12637834	129936624	-0.028	0.049	-0.153	-0.480	-0.433	-0.061	0.140	17.752	2.326	
002140	东华科技	-2.17	12.18	3383584	41410824	-0.366	-0.357	-0.017	-0.952	-0.914	-0.509	-0.470	-21.424	-7.031	
002141	贤丰控股		7.15	0	0	0.000	0.000	0.000			0.000				
002142	宁波银行	-1.12	15.90	29815472	479856096	0.590	0.586	0.008	0.653	0.958	0.671	0.619	227.376	226.491	
002143	印纪传媒		15.53	0	0	0.000	0.000	0.000			0.000				
002144	宏达高科	-0.06	15.86	1334859	21239800	-0.343	-0.240	-0.206	-0.920	-0.770	-0.281	-0.121	1.346	0.248	
002145	中核钛白	-2.08	6.58	51382904	337878624	0.193	0.165	0.055	0.152	0.144	0.493	0.446	325.176	304.529	
002146	荣盛发展	-2.22	10.13	38516172	392551168	-0.021	-0.089	0.138	-0.606	-0.793	-0.136	-0.152	-1.973	10.499	
002147	新光圆成	-0.07	15.16	1890297	28638638	-0.085	-0.077	-0.017	-0.134	-0.212	-0.099	-0.070	-0.024	-0.688	
002148	北纬通信	-1.35	10.20	17532560	178336256	-0.014	0.083	-0.194	-1.401	-0.762	0.033	0.264	106.898	89.162	
002149	西部材料	1.67	10.98	8014262	87809096	-0.281	-0.176	-0.211	-1.146	-0.855	-0.255	-0.052	11.532	18.742	
002150	通润装备	1.42	10.70	2554173	27141386	-0.327	-0.235	-0.184	-1.719	-1.400	-0.423	-0.182	-3.009	-4.771	
002151	北斗星通	-0.68	26.34	2651398	70060968	-0.504	-0.343	-0.323	-0.855	-0.657	-0.256	-0.107	-4.508	-6.891	
