历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
601233	桐昆股份	4.10	15.24	35270892	528986016	0.534	0.547	-0.025	22.995	11.467	71.180	1385251.1	922903.5	
601238	广汽集团	-0.26	26.46	7718274	204750512	-0.144	-0.167	0.047	33.793	65.017	133.110	1284055.8	1331992.1	
601258	庞大集团	0.72	2.80	62812624	175212832	-0.045	-0.049	0.008	34.615	57.500	-13.905	-12639028.0	-12800732.0	
601288	农业银行	0.28	3.61	235767760	855815104	0.076	0.057	0.037	15.152	12.195	101.971	23880640.0	10133201.0	
601311	骆驼股份	-0.28	14.03	3869338	54476108	-0.012	0.060	-0.143	69.942	69.942	-61.745	173025.4	119264.3	
601313	江南嘉捷					-0.237	-0.292	0.110	33.065	57.653	66.243	-12799.63		
601318	中国平安	1.25	52.61	90459592	4749136384	1.749	1.809	-0.119	32.461	25.488	30.677	9724772.0	6582381.5	
601328	交通银行	0.32	6.36	129378144	827555968	0.142	0.109	0.066	23.810	20.000	77.663	20337560.0	11904213.0	
601333	广深铁路	1.01	4.99	58936984	295811136	0.119	0.072	0.094	15.625	13.889	139.762	6220862.5	1930165.6	
601336	新华保险	0.39	59.70	13085121	787365632	2.560	2.175	0.770	21.401	19.031	72.819	1411459.1	835212.2	
601339	百隆东方	0.49	6.16	4227406	25974380	0.066	0.060	0.012	10.000	9.302	143.960	311482.6	117697.2	
601366	利群股份	0.99	12.28	4951655	60441720	-0.540	-0.432	-0.215	84.979	87.973	-77.724	-546295.3	-323032.4	
601368	绿城水务	0.75	9.37	1889358	17651432	-0.112	-0.077	-0.070	61.538	62.500	-60.300	-28462.29	-18620.08	
601369	陕鼓动力	1.08	6.57	3320704	21696256	-0.030	-0.021	-0.018	40.000	40.000	-8.992	292638.3	145665.1	
601375	中原证券	0.35	8.72	22430816	194609024	-0.358	-0.237	-0.243	84.324	88.163	-93.544	147620.7	1523447.9	
601377	兴业证券	0.13	7.98	60058768	480629920	0.140	0.098	0.083	30.682	28.125	100.115	2055453.6	1574527.8	
601388	怡球资源	-0.47	4.28	54562576	234000480	0.155	0.117	0.076	16.667	11.224	129.630	1925686.1	-149503.2	
601390	中国中铁	-0.22	8.98	42954436	386118240	0.059	0.020	0.079	31.148	31.148	80.621	4618276.0	2579495.3	
601398	工商银行	1.13	5.39	171122784	923957632	0.119	0.092	0.054	10.204	7.246	116.448	17581188.0	8950341.0	
601500	通用股份	0.39	12.74	5503576	68994152	-0.421	-0.252	-0.338	86.054	86.054	-109.513	558609.3	461702.4	
601515	东风股份	1.26	11.22	1143915	12726924	0.038	0.075	-0.076	32.857	32.857	-39.548	69626.21	40016.43	
601518	吉林高速	3.34	4.02	23947868	96823072	0.040	0.031	0.017	32.075	30.909	243.635	789898.1	340275.3	
